instruction,input,output
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-09-23, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 01:30: Pumped 200 m3 of seawater followed by 45 m3 hi-vis pill. Displaced hole with 120 m3 1,25 SG hi-vis mud.
01:30 - 03:30: POOH to 122 m,closed CTS ram,pulled CTS pump/26"" holeopener above template.
03:30 - 04:30: Moved rig 25 m direction 110 deg.
04:30 - 06:00: POOH with CTS pump/26"" holeopener. Secured CTS pump on trolley.
06:00 - 07:00: Secured CTS pump,opened CTS ram,racked 26"" holeopener back in derrick.
07:00 - 12:00: Prepared and ran 20"" casing to 84 m. Locked first 3 joints. M/u cement head on DP,RACKED same in derrick.
12:00 - 12:30: Positioned rig over template.
12:30 - 13:00: Guide wire no. 3 hooked on 20"" casing,sorted same out,ok.
13:00 - 18:00: Ran 20"" casing,latched on 30"" housing,20"" shoe at 531 m. Took 18 ton overpull,ok.
18:00 - 19:00: Hooked up surface lines, pumped 95 m3 seawater. MAX 2000 l/min. Pressure tested surface lines to 100 bar,ok.
19:00 - 00:00: Mixed and pumped 101 m3 1,56 SG lead slurry,followed by 15 m3 1. 9 SG tail slurry. Released dart cement w/74,1 m3 1,25 SG mud. Sheared wiperplug w/345 bar. Bumped plug and pressure tested 20"" casing to 70 bar.
",None
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-09-24, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 00:30: Released 20"" running tool by 3 right hand turns. Pulled running tool above template.
00:30 - 01:00: Moved rig 25 m direction 110 deg.
01:00 - 02:30: L/d cement head,pooh l/d 20"" running tool.
02:30 - 04:00: M/u corrosion cap,rih to 82 m. Installed modified guide frame.
04:00 - 05:00: Washed wellhead,using scorpion. Performed survey on wellhead,ok.
05:00 - 05:30: Positioned rig over template.
05:30 - 06:00: Landed corrotion cap.
06:00 - 07:30: Mixed and pumped inhibitor. Observed with ROV,OK. Sheared pins on corrotion cap running tool with 5 ton overpull. POOH to 81 m.
07:30 - 12:00: Released and pulled 3 guide line anchors.
12:00 - 14:00: Hooked guideline anhcor no. 3 to hatch no. 3. Closed and locked same. off report,cont. On report no. 1 on well 15/9-c 2h)
",None
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-17, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","18:00 - 18:30: Moved rig 30m forward
18:30 - 23:00: Released BOP from carrier. Lifted BOP off test stump. Installed VX on stump. Set BOP back on test stump and welded BOP to carrier. Removed riser and moved carrier back for BOP testing.
23:00 - 00:00: Opened hatch cover on slot no. 3.
",Opened hatch cover. Ran guide wires. Pulled corrosion cap.
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-18, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 03:30: Installed guide wires.
03:30 - 04:30: Moved rig over well. Pull tested guide lines to 2,5 tons.
04:30 - 06:00: RIH with corrosion cap r/r tool. Ran guide frame. Retrieved corrosion cap with 15 tons overpull. POOH with cap and r/r tool.
06:00 - 07:00: LD corrosion cap and r/r tool.
07:00 - 16:00: Pressure tested uap to 27/345 bar, 5/15 mins. Pressure tested lap and pipe rams to 27/690 bar, 5/15 mins.
16:00 - 16:30: Moved rig 30 m off well.
16:30 - 18:00: Found shear ram leaking. Brought carrier up in high position. Prepared for working on shear ram.
18:00 - 19:00: Secured BOP.
19:00 - 22:30: Function tested BOP.
22:30 - 00:00: Worked on shear ram.
",Tested BOP. Shear ram leaking. Changing seal.
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-19, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 00:30: Cont. Working on shear ram. Found t-seal to be damaged.
00:30 - 02:00: LD riser and running tool
02:00 - 03:30: Changed saver sub in TDS to 6 5/8"" FH.
03:30 - 06:00: RU for and carried out torque measurements for calibration purposes.
06:00 - 07:00: Cont. Repairing shear ram.
07:00 - 00:00: W. O. W. To run BOP/RISER
",Repaired leaking shear ram. Waited on weather to run BOP/RISER.
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-20, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 06:00: Cont w. O. W.
06:00 - 16:30: Cont. Wow to run BOP/RISER. While wow, rearranged 9 1/2"" DC and 8"" DC in derrick and PU/MU 17 1/2"" BHA and racked same in derrick.
16:30 - 23:00: RD drillpipe equipment. RU to run BOP. Moved BOP/CARRIER in place. PU 2 ea 50 ft riser joints and MU to BOP. Deballasted rig, cut BOP loose from carrier and ballasted rig. Installed guide wires. Lifted BOP off carrier, moved carrier away and ran BOP through splash zone. RU to test k/c lines. Tested to 30 bar/5 mins.
23:00 - 00:00: Attempted pressure testing k/c lines to 345 bar, NEG. Test plug leaking.
","Wow, MU BHA ran BOP"
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-21, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 00:30: Tested k/c lines to 345 bar/10 mins.
00:30 - 06:00: Cont. Running BOP/RISER. Pressure tested k/c lines to 30/345 bar, 5/10 mins. MU slip joint and handling joint. MU goose neck from kill line to riser. De-ballasted rig 2m.
06:00 - 10:00: Cont. Installation of kill/choke lines, riser tensioners and saddle for pod hoses. Pressure tested kill/choke lines to 35/345 bar, 5/10 minutes.
10:00 - 11:00: Positioned rig over well
11:00 - 12:00: Ballasted rig to drilling draft
12:00 - 17:00: Landed BOP. Overpull tested with 25 tons. Closed shear ram with acoustic system and pressure tested 20"" casing and shear ram to 75 bar/15 minutes. Laid down landing joint. Installed diverter. Rigged down riser handling equipment.
17:00 - 21:00: Rigged up pipe handling equipment. Made up spring loaded tool and ran in hole. Pressure tested wellhead connector to 20/345 bar, 5/10 minutes. Pulled tool.
21:00 - 22:30: Made up spring loaded tool to 18 3/4"" nominal bore protector and ran in hole. Function tested BOP on blue pod from drillers panel. Retrieved spring loaded tool.
22:30 - 00:00: Installed spider and diverter running tool. Picked up diverter and changed out o-rings on connection between the diverter and the slip- joint inner barrel. Re-installed diverter, OK.
",None
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-22, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 05:00: Made up bottomhole assembly number 4 and ran in hole to 506 meters. Tested mud motor and MWD on way in.
05:00 - 05:30: Held kick drill
05:30 - 06:00: Cont. Running in to drill float/cement/shoe
06:00 - 08:00: Tagged at 517m. Drilled plugs and float from 517 to 519 m and cement from 519 to 525 m.
08:00 - 09:00: Attempted to test acoustic control system, NEG. Trouble shooting. Re-tested OK.
09:00 - 10:00: Cont. Drilling cement from 525 to 531 m.
10:00 - 10:30: Positioned rig
10:30 - 12:00: Drilled shoe at 531m. Cleaned out rat hole to 547m. Pumped 35 m3 bentonite mud.
12:00 - 13:30: Displaced well to 1,20 SG KCL mud. Drilled 5m new formation from 547m to 552m while displacing.
13:30 - 15:00: Pulled back to casing shoe. Circulated until even mudweight around and flushed kill/choke lines. Performed leak-off test to 1,62 SG EMW.
15:00 - 17:30: Repaired upper racking arm welded on anti-turn pads for swing motor.
17:30 - 00:00: Drilled/surveyed 17 1/2"" from 552 to 633m steered from 562 to 619m and from 625 to 633m.
","Drilled float/shoe etc. Displaced to 1,20 SG KCL mud, drilled 5m new formation. Took lot to 1,62 SG EMW drilled 17 1/2"" hole to 762m"
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-23, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 06:00: Cont. Drilling/surveying 17 1/2"" hole to 762m. Steered from 633 to 650m, 663m to 684m, 692m to 711m and 721m to 745m.
06:00 - 08:00: Drilled/surveyed 17 1/2"" hole from 762 to 780m. Steered from 762 to 772m
08:00 - 09:00: Attempted to dump shakerbox, no-go. Unplugged dump line and cleaned out shakerbox.
09:00 - 10:00: Reamed from 720 to 750m to reduce dog leg.
10:00 - 10:30: Changed shaker screens and cleaned out shaker box.
10:30 - 11:00: Cont. Reaming dog leg from 750 to 780m.
11:00 - 00:00: Drilled/surveyed 17 1/2"" hole from 780 to 1037m steered 780-795m, 809-824m, 839-854m, 868-885m, 897-916m, 928-946m, 958-976m, 987-1006m and 1016-1035m.
","Drilled/surveyed 17 1/2"" hole to 1117m."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-24, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 00:30: Cont. Rotation drilling and surveying to 1044m.
00:30 - 02:00: Pulled back to 986m. Reamed dog leg to 1044m.
02:00 - 04:30: Cont. Drilling/surveying to 1105m steered from 1051-1068m and 1077- 1094m.
04:30 - 05:00: Pulled back to 1044m. Reamed dog leg to 1105m.
05:00 - 06:00: Cont. Drilling/surveying to 1117m steered 1109-1117
06:00 - 00:00: Drilled/surveyed 17 1/2"" hole from 1117m to 1395m steered from 1117 to 1123m, 1132-1147m, 1162-1175m, 1191-1203m and 1221-1233m.
","Drilled/surveyed 17 1/2"" hole to 1450m, original CSG shoe setting depth was in sand."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-25, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 06:00: Cont. Drilling/surveying 17 1/2"" hole to 1450m steered from 1415 to 1425m and 1447-1452m.
06:00 - 09:30: Cont. Drilling/surveying 17 1/2"" hole to section TD at 1490m steered from 1450 to 1452m and 1485 to 1490m.
09:30 - 10:30: Circulated
10:30 - 18:30: Back-reamed from 1490m to 533m.
18:30 - 20:00: Circulated hole clean
20:00 - 23:00: Pulled out of hole. Broke bit, racked back bottomhole assembly. Changed saver sub on way out.
23:00 - 00:00: Made up pre-loaded cement head.
","Drilled 17 1/2"" hole to 1490m. Backreamed OOH. Retrieved wear bushing, washed wellhead."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-26, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 00:30: Continued making up cement head. Racked back head in derrick.
00:30 - 03:30: Made up wiper plugs, casing hanger and seal assembly to single trip tool. Racked assembly in derrick.
03:30 - 04:30: Made up jet sub. Ran in hole and washed wellhead.
04:30 - 06:00: Made up spring loaded tool. Ran in hole and retrieved 18 3/4"" nominal bore protector with 3 tons overpull. Laid down bore protector and tool. Flushed kill and choke lines. Washed wellhead on way out.
06:00 - 08:00: Washed wellhead, BOP and riser. Laid down jet sub.
08:00 - 09:30: Removed stuck drift from plug launcher in casing hanger joint.
09:30 - 11:30: Installed casing stabbing board. Rigged up to run casing.
11:30 - 12:30: Made up tam packer and 5"" pup to TDS.
12:30 - 20:30: Ran shoe joint, 1 casing joint and float joint after having checked floats. Thread locked shoe joint and float joint to intermediate joint. Ran 13 3/8"" casing to 517m. Filled casing with 1,20 SG when running in hole.
20:30 - 21:30: Circulated bottom up and clean hole.
21:30 - 22:00: Changed to 500 ton elevator and spider.
22:00 - 00:00: Continued running 13 3/8"" casing to 739m.
","Washed wellhead and retrieved wear bushing. Prepared for running casing. Ran 13 3/8"" casing to 1275m."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-27, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 06:00: Continued running 13 3/8"" casing to 1275m.
06:00 - 07:30: Ran 13 3/8"" casing to 1376 m.
07:30 - 09:00: Make up 13 3/8"" casing hanger. Ran 13 3/8"" casing on 5"" HWDP. Landed same. Took measurements.
09:00 - 11:00: Circulated bottoms up. Pumped 25 m3 1,2 SG bentonite mud. Pressure tested surface line to 345 bar.
11:00 - 14:30: Pumped 12 m3 1,4 SG spacer. Mixed and pumped 71,8 m3 1,56 SG lead slurry,followed by 20,1 m3 1,9 SG tail slurry. Dropped dart and displaced cement with 1,5 m3 1,4 SG spacer.
14:30 - 16:30: Displaced cement with 102,6 m3 1,2 SG mud using rig pump. Got cement contaminated mud in return over shaker. Did not bump plug.
16:30 - 17:30: Flushed k/c line and riser. Dumped cement contaminated mud. Attempted to set seal assy, negative. Released seal assy and POOH with same.
17:30 - 20:00: M/u mill and flush tool. RIH and washed seal area. Got CMT contaminated mud in return. POOH, l/d mill and flush tool.
20:00 - 22:00: M/u and RIH w/seal assy. Set and pressure test same to 140 bar. Retorqued seal assy and pressure tested to 220 bar. POOH and l/d r/t.
22:00 - 23:30: M/u jet sub. RIH to below wellhead. Washed wellhead/bop and riser.
23:30 - 00:00: Changed bails.
","13 3/8"" casing to 1482 m. 13 3/8"" casing. Got cement in return. kill/choke line/riser. to set seal assy. NEG. w/mill/flush tool, washed seal area. w/jet sub, washed wellhead, BOP, riser. w/13 3/8"" wear bushing. BOP."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-28, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 01:00: R/d casing stabbing board. Broke plug launcher from single trip tool.
01:00 - 02:00: Made up wear bushing to spring loaded tool. RIH and set 13 3/8"" wearbushing.
02:00 - 06:00: Pressure tested BOP 20/220 bar on yellow pod, function test BOP on blue pod. Function tested acoustic system.
06:00 - 06:30: Pulled out of hole with wear bushing running tool,jet sub and laid down same.
06:30 - 08:00: Pressure tested lower/upper kelly cock, kelly hose on topdrive to 20/220 bar,ok.
08:00 - 09:00: Laid down 13 3/8"" tam packer and cement head.
09:00 - 12:30: Laid down 17 1/2"" bottom hole assembly.
12:30 - 13:30: Rigged up atlas wire line.
13:30 - 19:30: Ran gyro on atlas wireline. Gyro stopped at 1407 m. Check logged out of hole. Laid down gyro.
19:30 - 00:00: Ran CBL. CBL log stopped at 1407 m. Logged CBL.
","with wear bushing tool. tested top drive to 20/220 bar. down tam packer,cement head and 17 1/2"" bottom hole assembly. gyro down to 1400 m. CBL from 1405 m. up 12 1/4"" bottom hole assembly."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-29, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 01:30: Continued logging CBL to wellhead. Rigged down atlas wireline.
01:30 - 03:30: Made up 12 1/4"" bottom hole assemly. Closed shear ram using acoustic,pressure tested 13 3/8"" casing to 220 bar,ok.
03:30 - 04:00: Repaired SCR for mud pump.
04:00 - 06:00: Continued to make up 12 1/4"" bottom hole assemly. Function tested mud motor and MWD.
06:00 - 10:00: RIH with 12 1/4"" bit,tagged cement at 1441 m.
10:00 - 10:30: Performed BOP drill.
10:30 - 13:00: Drilled cement,float and shoe and cleaned rat hole.
13:00 - 14:00: Drilled 12 1/4"" hole from 1490 m to 1495 m.
14:00 - 15:30: Circulated/conditioned mud. Got 1,28 SG in returns,circulated until 1,25 SG in/out.
15:30 - 16:30: Performed lot with 1,25 SG mud,equivalent to 1,73 SG.
16:30 - 19:00: Drilled 12 1/4"" hole from 1495 m to 1551 m. Started to drill with new 1,2 SG mud.
19:00 - 19:30: Had black out due to generator overload. Circulated with NBS while restarted generator.
19:30 - 00:00: Drilled/orientated 12 1/4"" hole from 1551 m to 1637 m. Orientated from 1585 m to 1595 m.
","with 12 1/4"" bit to 1441 m. cement,float and cleaned rat hole. 12 1/4"" hole from 1490 m to 1495 m. and conditioned mud. lot,equivalent to 1,73 SG. 12 1/4"" hole from 1495 m to 1551 m. black out due to generator overload. 12 1/4"" hole from 1551 m to 1748 m."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-11-30, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 06:00: Drilled/orientated 12 1/4"" hole from 1637 m to 1748 m. Orientated from 1677 m to 1691 m.
06:00 - 00:00: Drilled/orientated 12 1/4"" hole from 1748 m to 1981 m. Orientated from 1926 m to 1938 m
","12 1/4"" hole from 1748 m to 2018 m. from 2018 m to 1985 m."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-12-01, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 05:30: Drilled/orientated 12 1/4"" hole from 1981 m to 2018 m. Orientated from 1988 m to 2001 m
05:30 - 06:00: Backreamed from 2018 m to 1985 m. due to low ROP)
06:00 - 13:30: Backreamed from 1985 m to 13 3/8"" shoe at 1482 m, continued backreaming inside casing to 800 w/hole angle 20 deg.
13:30 - 14:30: Circulated hole clean. Circulated riser through kill/choke line.
14:30 - 17:00: POOH,BROKE bit.
17:00 - 22:30: Made up new bit,replaced lower sleeve stabilizer to 12"". Function tested motor/mwd,rih to 1983 m.
22:30 - 23:00: Reamed from 1983 m to 2018 m as precaution.
23:00 - 00:00: Drilled 12 1/4"" hole from 2018 m to 2041 m.
","from 1985 m to 800 m. hole clean and POOH. bit and lower sleeve stabilizer. to 1983 m. from 1983 m to 2018 m. 12 1/4"" hole from 2018 m to 2166 m."
"You are a Rig Supervisor working at an oil and gas offshore drilling operation. Your company is currently on a drilling campaign and you are the on-site Drilling Engineer (DE). As a DE, one of your jobs is to oversee the operations at the drilling rigs. As such, you know the ins and outs of the operation, down to the hourly activities. Every day, activities are recorded either by the Driller, Mud Logger, MWD / LWD engineer or the Drilling Operations Coordinator throughout the day. As a DE representative for your company, you are required to prepare the 24-hour summary for the Daily Drilling Report (DDR) based on the hourly activities reported. You must always maintain the language of report along with the terminologies and mnemonics of the Drilling Engineer. 
Given the following activities for well NO 15/9-19 S on 1992-12-02, please prepare the 24-hour summary for the Daily Drilling Report (DDR).
Only return the 24-hour summary, and nothing else.
","00:00 - 06:00: Drilled/orientated 12 1/4"" hole from 2041 m to 2166 m. Orientated from 2132 m to 2142 m
06:00 - 13:00: Drilled 12 1/4"" hole from 2166 m to 2300 m. Flowchecked drilling break at 2194 m,negative.
13:00 - 13:30: Circulated and rotated drillstring due to inadequate hole cleaning.
13:30 - 22:30: Drilled 12 1/4"" hole from 2300 m to 2470 m. Increased mudweight from 1,3 SG to 1,4 SG,WHILE drilling from 2300 m to 2383 m.
22:30 - 00:00: Repaired top drive due to overload on electro motor.
","12 1/4"" hole from 2166 m to 2465 m. Increased mud weight to 1,4 SG when drilling from 2300 m to 2383 m. top drive 12 1/4"" hole from 2465 m to 2531 m. out of hole due to problems with top drive."
